ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
"11514333,JB525339,11/18/2018 05:00:00 PM,025XX W 51ST ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,TAVERN/LIQUOR STORE,false,false,0923,009,14,63,15,1160140,1870767,2018,11/25/2018 04:09:36 PM,41.801088123,-87.688240094,""(41.801088123, -87.688240094)"""
"11513894,JB524768,11/18/2018 12:01:00 AM,0000X S FRANKLIN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,false,false,0122,001,42,32,11,1174333,1900280,2018,11/25/2018 04:09:36 PM,41.881770084,-87.635309866,""(41.881770084, -87.635309866)"""
"11513870,JB524767,11/18/2018 12:01:00 AM,0000X S FRANKLIN ST,0810,THEFT,OVER $500,HOTEL/MOTEL,false,false,0122,001,42,32,06,1174333,1900280,2018,11/25/2018 04:09:36 PM,41.881770084,-87.635309866,""(41.881770084, -87.635309866)"""
"11513833,JB524553,11/18/2018 03:23:00 PM,035XX W MC LEAN AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1413,014,26,22,06,1152823,1913402,2018,11/25/2018 04:09:36 PM,41.918231032,-87.713946349,""(41.918231032, -87.713946349)"""
"11513696,JB524488,11/18/2018 11:30:00 AM,090XX S BUFFALO AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0424,004,10,46,08A,1199615,1845619,2018,11/25/2018 04:09:36 PM,41.73117633,-87.544319818,""(41.73117633, -87.544319818)"""
11513672,JB522474,11/18/2018 05:00:00 PM,059XX S CARPENTER ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0712,007,16,68,08B,,,2018,11/25/2018 04:09:36 PM,,,
"11513635,JB524293,11/18/2018 12:00:00 AM,001XX N MICHIGAN AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0114,001,42,32,02,1177276,1901405,2018,11/25/2018 04:09:36 PM,41.884790951,-87.624469241,""(41.884790951, -87.624469241)"""
11513624,JB520997,11/18/2018 07:10:00 PM,017XX S MICHIGAN AVE,0580,STALKING,SIMPLE,RESTAURANT,false,true,0131,001,3,33,08A,,,2018,11/25/2018 04:09:36 PM,,,
"11513611,JB524453,11/18/2018 09:50:00 PM,001XX E 32ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,false,false,0211,002,3,35,14,1177886,1883799,2018,11/25/2018 04:09:36 PM,41.83646512,-87.622764335,""(41.83646512, -87.622764335)"""
"11513610,JB524263,11/18/2018 08:00:00 PM,057XX W BELMONT AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,1633,016,30,15,06,1137716,1920698,2018,11/25/2018 04:09:36 PM,41.938538042,-87.76927486,""(41.938538042, -87.76927486)"""
"11513544,JB524295,11/18/2018 01:00:00 PM,081XX S HARVARD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0622,006,21,44,26,1175369,1851024,2018,11/25/2018 04:09:36 PM,41.746583924,-87.632979788,""(41.746583924, -87.632979788)"""
"11513507,JB524233,11/18/2018 04:00:00 AM,052XX S WOLCOTT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,0932,009,16,61,06,1164570,1870034,2018,11/25/2018 04:09:36 PM,41.798984299,-87.672014362,""(41.798984299, -87.672014362)"""
"11513453,JB524155,11/18/2018 03:00:00 PM,006XX S LOOMIS ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1231,012,28,28,06,1167147,1897365,2018,11/25/2018 04:09:36 PM,41.873928451,-87.661780289,""(41.873928451, -87.661780289)"""
"11513441,JB523946,11/18/2018 01:00:00 AM,064XX S MAPLEWOOD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0825,008,16,66,05,1160483,1861810,2018,11/25/2018 04:09:36 PM,41.776501837,-87.687229042,""(41.776501837, -87.687229042)"""
11513377,JB520582,11/18/2018 12:00:00 PM,079XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0611,006,17,71,08B,,,2018,11/25/2018 04:09:36 PM,,,
"11513264,JB523904,11/18/2018 04:00:00 PM,104XX S AVENUE L,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0432,004,10,52,08A,1201838,1836272,2018,11/25/2018 04:09:36 PM,41.705471231,-87.536493283,""(41.705471231, -87.536493283)"""
"11513221,JB520738,11/18/2018 02:45:00 PM,008XX W WELLINGTON AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,HOSPITAL BUILDING/GROUNDS,false,false,1933,019,44,6,26,1169981,1920130,2018,11/25/2018 04:09:36 PM,41.936335635,-87.650710119,""(41.936335635, -87.650710119)"""
"11513218,JB523877,11/18/2018 12:01:00 PM,046XX N SHERIDAN RD,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,false,1914,019,46,3,20,1168782,1931169,2018,11/25/2018 04:09:36 PM,41.966653193,-87.654795347,""(41.966653193, -87.654795347)"""
"11513202,JB521478,11/18/2018 11:33:00 PM,032XX W FRANKLIN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1123,011,28,23,08B,1154714,1903150,2018,11/25/2018 04:09:36 PM,41.890060933,-87.707273553,""(41.890060933, -87.707273553)"""
"11513199,JB523837,11/18/2018 03:00:00 PM,035XX N GREENVIEW AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1922,019,44,6,06,1165681,1923637,2018,11/25/2018 04:09:36 PM,41.946051886,-87.666412729,""(41.946051886, -87.666412729)"""
"11513034,JB522855,11/18/2018 08:00:00 AM,018XX W PERSHING RD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,false,0924,009,12,61,26,1164491,1878840,2018,11/25/2018 04:09:36 PM,41.823150651,-87.672055581,""(41.823150651, -87.672055581)"""
"11512938,JB523511,11/18/2018 12:01:00 AM,022XX N LINCOLN AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1812,018,43,7,08B,1171562,1915205,2018,11/25/2018 04:09:36 PM,41.922786529,-87.645045119,""(41.922786529, -87.645045119)"""
"11512912,JB523086,11/18/2018 02:00:00 AM,046XX S MARSHFIELD AVE,0915,MOTOR VEHICLE THEFT,""TRUCK, BUS, MOTOR HOME"",STREET,false,false,0924,009,15,61,07,1166119,1874043,2018,11/25/2018 04:09:36 PM,41.809952617,-87.666219702,""(41.809952617, -87.666219702)"""
11512897,JB521893,11/18/2018 01:00:00 PM,003XX E 58TH ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0232,002,20,40,06,,,2018,11/25/2018 04:09:36 PM,,,
11512854,JB523182,11/18/2018 06:00:00 PM,021XX W CORTEZ ST,0810,THEFT,OVER $500,APARTMENT,false,false,1212,012,2,24,06,,,2018,11/25/2018 04:09:36 PM,,,
"11512851,JB522703,11/18/2018 06:55:00 PM,0000X E CHICAGO AVE,0810,THEFT,OVER $500,RESTAURANT,false,false,1833,018,42,8,06,1176708,1905741,2018,11/25/2018 04:09:36 PM,41.896702014,-87.626423821,""(41.896702014, -87.626423821)"""
11512842,JB522722,11/18/2018 04:55:00 PM,0000X W JACKSON BLVD,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,false,false,0113,001,4,32,11,,,2018,11/25/2018 04:09:36 PM,,,
